job_title,occupation_group,occupation,occupation_group_index,occupation_index
<font color=red><b>Urgently Required!!!</b></font><br>Sales Representative/พนักงานขาย (เพื่อฝึกอบรมเป็นผู้เชี่ยวชาญด้านผิวพรรณ),Sales,Sales,132,495
Data Entry Coordinator,Administration,Data Entry/Order Processor,2,155
SANITARY ENGINEER,Engineering,Engineer,50,198
ผู้เชี่ยวชาญด้านผลิตภัณฑ์ (เครื่องมือแพทย์),Engineering,Product Specialist - Engineer,50,444
ศัลยแพทย์กระดูกและข้อ (Orthopedic Surgeon),Physician/Doctor,Surgeon,110,533
วิศวกรประจำบริษัท,Engineering,Engineer,50,198
Technical & QA Assistant (Textile or Microbiology),Quality Assurance,Quality Assurance,126,467
Assistant Event Manager / Event Manager,Event,Event Manager,53,208
เจ้าหน้าที่เทคโนโลยีสารสนเทศ,IT and Computer,ICT,74,284
ช่างเทคนิคภาคสนาม,Construction/Building Technician,Field Technician,31,217
เจ้าหน้าที่ประสานงานต่างประเทศ,Import and Export,Oversea Coordinator,75,397
<font color=red><b>Urgently Required!!!</b></font> Account Executive (Commercial Radio),Account Executive,Account Executive,0,2
พนักงานให้ข้อมูลเครื่องมือทางการแพทย์,Medical Technologist,Digital X-ray Service Engineer,93,168
Planning Supervisor,Production Planner,Production Planning Manager,119,449
เจ้าหน้าที่ Cleaning (ศูนย์การค้า Terminal 21 พัทยา),Housekeeping,Cleaning Staff,72,108
Merchandiser,Purchasing,Merchandiser,125,367
นักวิชาการศึกษา,Educational Counsellor,Educational Counsellor,47,187
Community CS,Customer Service,Customer Service,37,148
เจ้าหน้าที่วิเคราะห์ข้อมูล,Data,Data Analytic,38,153
Assistant Team head sale and marketing of estate,Sales,Sales,132,495
Logistics Officer,Logistic Officer,Logistic Officer,85,331
Assistant to Head of Computer Section<br>(ผู้ช่วยหัวหน้าส่วนคอมพิวเตอร์),IT and Computer,IT Manager,74,288
Barista,Food Preparation,Barista,62,58
กัปตันเรือประมง,Fisherman,Fishing Vessel Skipper,56,232
Editor,Writer and Editor,Editor,152,186
Packaging Admin,othe,other,153,596
ช่างประกอบแว่น วัดสายตา,Optician,Optician,104,391
ผู้ตรวจสอบคุณภาพ,Quality Assurance,Quality Control,126,468
Ground Service Officer,Flight Attendant,Ground Attendant,58,265
ครูปฐมวัย (ทุกสาขา),Teacher,Pre Elementary Teacher,140,432
Senior IT Support/Project Manager,IT and Computer,Project Manager - IT,74,457
Guest Service Agent,Customer Service,Guest Service Agent,37,267
Merchandise Manager,Purchasing,Merchandise Manager,125,366
teller,Customer Service,Service Representative,37,511
Compliance Officer,Finance,Compliance,55,126
HVAC (AIRCON) TECHNICIANS,Construction/Building Technician,HVAC Designer and Installator,31,272
Shift supervisor ,Production,Plant/Factory Manager,118,425
Biddable Media Specialist,Advertising,Advertising Specialist,4,12
Contractor & Supervisor,Contracts Administrator,Contractor & Supervisor,33,136
Operation and Reservation Officer<br><font color=red><b>(English Resume Only)</font color></b>,Customer Service,Reservation Officer,37,488
Document control officer,Administration,Document Officer,2,176
FB Secretary,Secretary,Secretary,134,505
ผู้ควบคุมเครื่อง CNC,Technician,Milling Technician,141,369
Secretary to Chief Operating Officer,Secretary,Secretary,134,505
IT Application Support,IT and Computer,IT Support,74,291
Online Marketer & Graphic Design,Marketing,Online Marketing Officer,88,385
Business Analyst,IT and Computer,Business Analyst,74,71
Senior IT ,IT and Computer,IT Analyst,74,285
Document management- Junior Level (BTS Promphong),Administration,Document Officer,2,176
พนักงานประจำร้าน,Warehouse Management,Store Officer,151,529
Software tester,IT and Computer,Tester,74,553
Sale & Tour Operation / Travel Consultant,Sales,Sales,132,495
3D Visualizer / Graphic Designer ( Event ),Graphic Designer,Graphic Designer,68,263
ผู้อำนวยการเขตธุรกิจ SME ขนาดกลาง สาขาภูมิภาค 108,Finance,Financial Director,55,228
พนักงานให้ข้อมูลเครื่องมือทางการแพทย์,Medical Technologist,Digital X-ray Service Engineer,93,168
ID 16856  Chief Financial Officer (CFO)  :  130 – 150K(Total),Finance,Finance Executive - Top Level,55,220
พนักงานคีย์ข้อมูล,Administration,Data Entry/Order Processor,2,155
Broadcasting Director,Advertising and PR,Media Director,5,356
Safety and Environmental Staff (Urgently Required),Environmental Scientist,Environmental Scientist,51,202
ช่างทอง ด่วน,Jewelry Technician,Goldsmith,78,260
Vessel Operation Staff,Operation Staff,Operation Staff,103,386
พนักงานควบคุมการจราจรทางอากาศ (Air Traffic Controller) - Licenced,Air Traffic Control,Air Traffic Control,7,23
Stock Controller,Warehouse Management,Stock Controller,151,528
Archaeologist,Archaeologist,Archaeologist,11,32
เจ้าหน้าที่ควบคุมจราจรทางอากาศ หลายอัตรา,Air Traffic Control,Air Traffic Control,7,23
Accounting Coordinator,Finance,Financial Coordinator,55,226
Senior Consultant/ที่ปรึกษาอาวุโส,Top Level Executive,Senior Consultant,142,509
นักศิลปะ งานภาพพิมพ์,Creative Art,Printing,36,435
Distribution Captain ( Retail Supervisor ) ,Marketing,Distribution Manager,88,174
QC Foreman,Quality Assurance,Quality Control,126,468
อาจารย์ประจำสอนภาษาอังกฤษ หลักสูตรศิลปศาสตร์บัญฑิต สาขาวิชาการธุรกิจการบิน/การจัดการอุตสาหกรรมการบิน/หลักสูตรนานาชาติ,Lecturer,Professor,83,451
Video Editor,Photographer & Videographer,Video Editor,108,580
<font color=red><b>Urgently Required!!!</b></font><br>Senior Content & Distribution Executive (1 Vacancy),Marketing,Distribution Executive,88,173
Application Development Manager,IT and Computer,Project Manager - IT,74,457
MIS  Manager,IT and Computer,Management Information System(MIS),74,336
Food Science วัตถุปรุงแต่งอาหาร,Food Scientist,Food Additive,63,239
Area Parts Sales,Sales,Sales,132,495
Operation staff,Operation Staff,Operation Staff,103,386
Soil and Plant Scientist,Agricultural And Natural Resources,Agronomist,6,22
Senior Compliance Officer,Finance,Compliance,55,126
Engineer,Engineering,Engineer,50,198
ครีเอทีฟ,Creative,Creative Director,35,147
<font color=red><b>Urgently Required!!!</font></b> BOI & Logistic Manager [Job ID:21073],BOI Officer,BOI Assistant Manager,17,52
นักพากย์,Voice Over,Voice Over,150,583
ที่ปรึกษาการขายฟิล์มกรองแสงรถยนต์ และฟิล์มกรองแสงอาคาร ประจำภาคเหนือ,Construction/Building Technician,Film Lighting Filter Installing Technician,31,218
วิศวกรไฟฟ้า และช่างเทคนิคไฟฟ้า,Engineering,Electrical Engineer,50,190
เจ้าหน้าที่บริหารผลิตภัณฑ์,Purchasing,Merchandiser,125,367
ช่างภาพ Full Time / Part-Time (4 อัตรา),Photographer & Videographer,Photographer,108,416
Collection Assist Manager,Finance,Collection Manager,55,116
Trainee,othe,other,153,596
Application Consultant (Finance Module),IT and Computer,IT Consultant,74,287
Failure Analysis Technician ? MLB Repair,Engineering,Failure Analysis Engineer,50,215
วิศวกร,Engineering,Engineer,50,198
นักสถิติชีวะ,Biologist,Biostatistician,19,66
Coach (English Tutor)- Part-Time,Teacher,Tutor,140,571
<font color=red><b>Urgently Required!!!</font color></b> Transportation Supervisor,Transportation Officer,Transportation Manager,146,567
ผู้ช่วยผู้จัดการฝ่ายการเงิน,Finance,Finance Manager,55,221
เกมอาร์ตติส,Multimedia,Game Artist,96,249
Oversea Operation Coordinator,Import and Export,Oversea Coordinator,75,397
Banner สื่อสินค้า ติดต่อลูกค้า ให้บริการหลังการขาย อื่นๆ,Sales,Sales Support,132,498
รับสมัคร Doctor assistance,Medical Assistant,Medical Assistant,91,358
Sr. Communication Analyst,Advertising and PR,Communication Analyst,5,121
Garment Technician,Engineering,Textile Engineer,50,556
นักวิชาการสาธารณสุข,Public Health Administrator,Public Health Administrator,123,462
HR Director,HR,HR Director,69,269
ประชาสัมพันธ์,Advertising and PR,PR Executive,5,400
[A] Administration Staff (Japanese Speaking) (M-2200),Administration,Administrator,2,8
เจ้าหน้าที่บริหารข้อมูล,Data,Data Management,38,156
ช่างซ่อมบำรุงเครื่องทดสอบ,Technician,Maintenance Technician,141,334
Market Intelligence Assistant Director,Marketing,Marketing Director,88,342
CRM Data Mining & Database Specialist  (1 อัตรา),Data,Data Mining Specialist,38,157
สินเชื่อบัตรเครดิต,Finance,Finance Officer,55,222
ช่างสำรวจ (Survey) - 1 อัตรา,Surveyor,Surveyor,139,535
Fund Management Supervisor,Finance,Fund Manager,55,247
Chemical Process and Production Technician,Chemist,Chemical Technologist and Technician,27,97
Real Estate (Hua Hin),Administration,Property Development Manager,2,459
ช่างเครื่องมือแพทย์,Medical Equipment Repair Technician,Medical Equipment Repair Technician,92,360
เจ้าหน้าที่การตลาดและประชาสัมพันธ์,Marketing,Marketing Officer,88,344
